CaseStudy,WindowMin,WindowMax,Option,Value,Configurations,Pearson-Correlation,Group
LLVM,60.00,65.14,simplifycfg,1,2375,0.900,simplifycfg
LLVM,62.57,67.71,simplifycfg,0,3608,0.901,simplifycfg
LLVM,62.57,67.71,simplifycfg,1,3622,0.905,simplifycfg
LLVM,65.14,70.28,simplifycfg,0,4625,0.896,simplifycfg
LLVM,65.14,70.28,simplifycfg,1,4748,0.896,simplifycfg
LLVM,67.71,72.85,simplifycfg,0,5186,0.894,simplifycfg
LLVM,67.71,72.85,simplifycfg,1,5305,0.896,simplifycfg
LLVM,70.28,75.42,simplifycfg,0,5543,0.887,simplifycfg
LLVM,70.28,75.42,simplifycfg,1,5597,0.896,simplifycfg
LLVM,72.85,77.99,simplifycfg,0,5801,0.885,simplifycfg
LLVM,72.85,77.99,simplifycfg,1,5892,0.893,simplifycfg
LLVM,75.42,80.56,simplifycfg,0,5897,0.878,simplifycfg
LLVM,75.42,80.56,simplifycfg,1,5989,0.898,simplifycfg
LLVM,77.99,83.13,simplifycfg,0,5988,0.870,simplifycfg
LLVM,77.99,83.13,simplifycfg,1,6025,0.886,simplifycfg
LLVM,80.56,85.70,simplifycfg,0,5952,0.875,simplifycfg
LLVM,80.56,85.70,simplifycfg,1,5973,0.883,simplifycfg
LLVM,83.13,88.27,simplifycfg,0,5505,0.864,simplifycfg
LLVM,83.13,88.27,simplifycfg,1,5490,0.874,simplifycfg
LLVM,85.70,90.84,simplifycfg,0,4714,0.855,simplifycfg
LLVM,85.70,90.84,simplifycfg,1,4678,0.862,simplifycfg
LLVM,88.27,93.41,simplifycfg,0,3593,0.852,simplifycfg
LLVM,88.27,93.41,simplifycfg,1,3539,0.863,simplifycfg
LLVM,90.84,95.98,simplifycfg,0,2378,0.840,simplifycfg
LLVM,90.84,95.98,simplifycfg,1,2264,0.856,simplifycfg
LLVM,93.41,98.55,simplifycfg,0,1393,0.841,simplifycfg
LLVM,93.41,98.55,simplifycfg,1,1298,0.862,simplifycfg
LLVM,95.98,101.12,simplifycfg,0,689,0.806,simplifycfg
LLVM,95.98,101.12,simplifycfg,1,635,0.849,simplifycfg
LLVM,98.55,103.69,simplifycfg,0,256,0.751,simplifycfg
LLVM,98.55,103.69,simplifycfg,1,197,0.751,simplifycfg
LLVM,-,-,ipsccp,0,32768,0.996,ipsccp
LLVM,-,-,ipsccp,1,32768,0.996,ipsccp
LLVM,52.29,57.43,ipsccp,0,239,0.829,ipsccp
LLVM,54.86,60.00,ipsccp,0,1010,0.872,ipsccp
LLVM,54.86,60.00,ipsccp,1,12,-0.049,ipsccp
LLVM,57.43,62.57,ipsccp,0,2527,0.895,ipsccp
LLVM,57.43,62.57,ipsccp,1,72,0.834,ipsccp
LLVM,60.00,65.14,ipsccp,0,4204,0.898,ipsccp
LLVM,60.00,65.14,ipsccp,1,544,0.821,ipsccp
LLVM,62.57,67.71,ipsccp,0,5444,0.904,ipsccp
LLVM,62.57,67.71,ipsccp,1,1786,0.887,ipsccp
LLVM,65.14,70.28,ipsccp,0,5965,0.898,ipsccp
LLVM,65.14,70.28,ipsccp,1,3408,0.888,ipsccp
LLVM,67.71,72.85,ipsccp,0,5695,0.901,ipsccp
LLVM,67.71,72.85,ipsccp,1,4796,0.887,ipsccp
LLVM,70.28,75.42,ipsccp,0,5457,0.902,ipsccp
LLVM,70.28,75.42,ipsccp,1,5683,0.884,ipsccp
LLVM,72.85,77.99,ipsccp,0,5740,0.900,ipsccp
LLVM,72.85,77.99,ipsccp,1,5953,0.883,ipsccp
LLVM,75.42,80.56,ipsccp,0,6070,0.895,ipsccp
LLVM,75.42,80.56,ipsccp,1,5816,0.885,ipsccp
LLVM,77.99,83.13,ipsccp,0,6161,0.883,ipsccp
LLVM,77.99,83.13,ipsccp,1,5852,0.876,ipsccp
LLVM,80.56,85.70,ipsccp,0,5830,0.878,ipsccp
LLVM,80.56,85.70,ipsccp,1,6095,0.880,ipsccp
LLVM,83.13,88.27,ipsccp,0,4769,0.870,ipsccp
LLVM,83.13,88.27,ipsccp,1,6226,0.866,ipsccp
LLVM,85.70,90.84,ipsccp,0,3302,0.850,ipsccp
LLVM,85.70,90.84,ipsccp,1,6090,0.859,ipsccp
LLVM,88.27,93.41,ipsccp,0,1966,0.849,ipsccp
LLVM,88.27,93.41,ipsccp,1,5166,0.858,ipsccp
LLVM,90.84,95.98,ipsccp,0,890,0.817,ipsccp
LLVM,90.84,95.98,ipsccp,1,3752,0.846,ipsccp
LLVM,93.41,98.55,ipsccp,0,228,0.728,ipsccp
LLVM,93.41,98.55,ipsccp,1,2463,0.849,ipsccp
LLVM,95.98,101.12,ipsccp,0,23,0.629,ipsccp
LLVM,95.98,101.12,ipsccp,1,1301,0.822,ipsccp
LLVM,98.55,103.69,ipsccp,1,453,0.754,ipsccp
LLVM,-,-,called_value_propagation,0,32768,0.993,called_value_propagation
LLVM,-,-,called_value_propagation,1,32768,0.991,called_value_propagation
LLVM,52.29,57.43,called_value_propagation,0,239,0.829,called_value_propagation
LLVM,54.86,60.00,called_value_propagation,0,1022,0.872,called_value_propagation
LLVM,57.43,62.57,called_value_propagation,0,2599,0.895,called_value_propagation
LLVM,60.00,65.14,called_value_propagation,0,4748,0.898,called_value_propagation
LLVM,62.57,67.71,called_value_propagation,0,7226,0.903,called_value_propagation
LLVM,62.57,67.71,called_value_propagation,1,4,0.491,called_value_propagation
LLVM,65.14,70.28,called_value_propagation,0,9316,0.895,called_value_propagation
LLVM,65.14,70.28,called_value_propagation,1,57,0.823,called_value_propagation
LLVM,67.71,72.85,called_value_propagation,0,9996,0.895,called_value_propagation
LLVM,67.71,72.85,called_value_propagation,1,495,0.824,called_value_propagation
LLVM,70.28,75.42,called_value_propagation,0,9464,0.890,called_value_propagation
LLVM,70.28,75.42,called_value_propagation,1,1676,0.879,called_value_propagation
LLVM,72.85,77.99,called_value_propagation,0,8141,0.884,called_value_propagation
LLVM,72.85,77.99,called_value_propagation,1,3552,0.891,called_value_propagation
LLVM,75.42,80.56,called_value_propagation,0,5989,0.881,called_value_propagation
LLVM,75.42,80.56,called_value_propagation,1,5897,0.888,called_value_propagation
LLVM,77.99,83.13,called_value_propagation,0,3688,0.868,called_value_propagation
LLVM,77.99,83.13,called_value_propagation,1,8325,0.878,called_value_propagation
LLVM,80.56,85.70,called_value_propagation,0,1982,0.874,called_value_propagation
LLVM,80.56,85.70,called_value_propagation,1,9943,0.877,called_value_propagation
LLVM,83.13,88.27,called_value_propagation,0,858,0.838,called_value_propagation
LLVM,83.13,88.27,called_value_propagation,1,10137,0.868,called_value_propagation
LLVM,85.70,90.84,called_value_propagation,0,230,0.753,called_value_propagation
LLVM,85.70,90.84,called_value_propagation,1,9162,0.857,called_value_propagation
LLVM,88.27,93.41,called_value_propagation,0,21,0.629,called_value_propagation
LLVM,88.27,93.41,called_value_propagation,1,7111,0.856,called_value_propagation
LLVM,90.84,95.98,called_value_propagation,1,4642,0.846,called_value_propagation
LLVM,93.41,98.55,called_value_propagation,1,2691,0.849,called_value_propagation
LLVM,95.98,101.12,called_value_propagation,1,1324,0.824,called_value_propagation
LLVM,98.55,103.69,called_value_propagation,1,453,0.754,called_value_propagation
LLVM,-,-,basicaa,0,32768,0.996,basicaa
LLVM,-,-,basicaa,1,32768,0.996,basicaa
LLVM,52.29,57.43,basicaa,0,145,0.872,basicaa
LLVM,52.29,57.43,basicaa,1,94,0.684,basicaa
LLVM,54.86,60.00,basicaa,0,566,0.888,basicaa
LLVM,54.86,60.00,basicaa,1,456,0.856,basicaa
LLVM,57.43,62.57,basicaa,0,1406,0.903,basicaa
LLVM,57.43,62.57,basicaa,1,1193,0.886,basicaa
LLVM,60.00,65.14,basicaa,0,2538,0.903,basicaa
LLVM,60.00,65.14,basicaa,1,2210,0.891,basicaa
LLVM,62.57,67.71,basicaa,0,3794,0.906,basicaa
LLVM,62.57,67.71,basicaa,1,3436,0.899,basicaa
LLVM,65.14,70.28,basicaa,0,4808,0.899,basicaa
LLVM,65.14,70.28,basicaa,1,4565,0.892,basicaa
LLVM,67.71,72.85,basicaa,0,5301,0.893,basicaa
LLVM,67.71,72.85,basicaa,1,5190,0.897,basicaa
LLVM,70.28,75.42,basicaa,0,5603,0.890,basicaa
LLVM,70.28,75.42,basicaa,1,5537,0.892,basicaa
LLVM,72.85,77.99,basicaa,0,5882,0.891,basicaa
LLVM,72.85,77.99,basicaa,1,5811,0.885,basicaa
LLVM,75.42,80.56,basicaa,0,5967,0.889,basicaa
LLVM,75.42,80.56,basicaa,1,5919,0.886,basicaa
LLVM,77.99,83.13,basicaa,0,5998,0.883,basicaa
LLVM,77.99,83.13,basicaa,1,6015,0.872,basicaa
LLVM,80.56,85.70,basicaa,0,5928,0.885,basicaa
LLVM,80.56,85.70,basicaa,1,5997,0.871,basicaa
LLVM,83.13,88.27,basicaa,0,5431,0.874,basicaa
LLVM,83.13,88.27,basicaa,1,5564,0.862,basicaa
LLVM,85.70,90.84,basicaa,0,4561,0.863,basicaa
LLVM,85.70,90.84,basicaa,1,4831,0.851,basicaa
LLVM,88.27,93.41,basicaa,0,3367,0.855,basicaa
LLVM,88.27,93.41,basicaa,1,3765,0.859,basicaa
LLVM,90.84,95.98,basicaa,0,2160,0.836,basicaa
LLVM,90.84,95.98,basicaa,1,2482,0.856,basicaa
LLVM,93.41,98.55,basicaa,0,1245,0.831,basicaa
LLVM,93.41,98.55,basicaa,1,1446,0.864,basicaa
LLVM,95.98,101.12,basicaa,0,586,0.787,basicaa
LLVM,95.98,101.12,basicaa,1,738,0.855,basicaa
LLVM,98.55,103.69,basicaa,0,199,0.757,basicaa
LLVM,98.55,103.69,basicaa,1,254,0.753,basicaa
LLVM,-,-,instcombine,0,32768,0.996,instcombine
LLVM,-,-,instcombine,1,32768,0.996,instcombine
LLVM,52.29,57.43,instcombine,0,159,0.856,instcombine
LLVM,52.29,57.43,instcombine,1,80,0.302,instcombine
LLVM,54.86,60.00,instcombine,0,671,0.876,instcombine
LLVM,54.86,60.00,instcombine,1,351,0.864,instcombine
LLVM,57.43,62.57,instcombine,0,1596,0.894,instcombine
LLVM,57.43,62.57,instcombine,1,1003,0.895,instcombine
LLVM,60.00,65.14,instcombine,0,2756,0.896,instcombine
LLVM,60.00,65.14,instcombine,1,1992,0.900,instcombine
LLVM,62.57,67.71,instcombine,0,4037,0.901,instcombine
LLVM,62.57,67.71,instcombine,1,3193,0.905,instcombine
LLVM,65.14,70.28,instcombine,0,5027,0.894,instcombine
LLVM,65.14,70.28,instcombine,1,4346,0.898,instcombine
LLVM,67.71,72.85,instcombine,0,5447,0.897,instcombine
LLVM,67.71,72.85,instcombine,1,5044,0.892,instcombine
LLVM,70.28,75.42,instcombine,0,5669,0.890,instcombine
LLVM,70.28,75.42,instcombine,1,5471,0.892,instcombine
LLVM,72.85,77.99,instcombine,0,5872,0.891,instcombine
LLVM,72.85,77.99,instcombine,1,5821,0.885,instcombine
LLVM,75.42,80.56,instcombine,0,5948,0.891,instcombine
LLVM,75.42,80.56,instcombine,1,5938,0.884,instcombine
LLVM,77.99,83.13,instcombine,0,6066,0.885,instcombine
LLVM,77.99,83.13,instcombine,1,5947,0.870,instcombine
LLVM,80.56,85.70,instcombine,0,5924,0.885,instcombine
LLVM,80.56,85.70,instcombine,1,6001,0.872,instcombine
LLVM,83.13,88.27,instcombine,0,5293,0.873,instcombine
LLVM,83.13,88.27,instcombine,1,5702,0.863,instcombine
LLVM,85.70,90.84,instcombine,0,4360,0.862,instcombine
LLVM,85.70,90.84,instcombine,1,5032,0.853,instcombine
LLVM,88.27,93.41,instcombine,0,3172,0.863,instcombine
LLVM,88.27,93.41,instcombine,1,3960,0.852,instcombine
LLVM,90.84,95.98,instcombine,0,1944,0.847,instcombine
LLVM,90.84,95.98,instcombine,1,2698,0.847,instcombine
LLVM,93.41,98.55,instcombine,0,1016,0.849,instcombine
LLVM,93.41,98.55,instcombine,1,1675,0.850,instcombine
LLVM,95.98,101.12,instcombine,0,442,0.787,instcombine
LLVM,95.98,101.12,instcombine,1,882,0.839,instcombine
LLVM,98.55,103.69,instcombine,0,111,0.665,instcombine
LLVM,98.55,103.69,instcombine,1,342,0.770,instcombine
LLVM,-,-,inline,0,32768,0.996,inline
LLVM,-,-,inline,1,32768,0.996,inline
LLVM,52.29,57.43,inline,0,223,0.833,inline
LLVM,52.29,57.43,inline,1,16,0.542,inline
LLVM,54.86,60.00,inline,0,948,0.872,inline
LLVM,54.86,60.00,inline,1,74,0.877,inline
LLVM,57.43,62.57,inline,0,2307,0.896,inline
LLVM,57.43,62.57,inline,1,292,0.876,inline
LLVM,60.00,65.14,inline,0,3778,0.898,inline
LLVM,60.00,65.14,inline,1,970,0.881,inline
LLVM,62.57,67.71,inline,0,5101,0.904,inline
LLVM,62.57,67.71,inline,1,2129,0.897,inline
LLVM,65.14,70.28,inline,0,5981,0.894,inline
LLVM,65.14,70.28,inline,1,3392,0.898,inline
LLVM,67.71,72.85,inline,0,5923,0.892,inline
LLVM,67.71,72.85,inline,1,4568,0.899,inline
LLVM,70.28,75.42,inline,0,5646,0.888,inline
LLVM,70.28,75.42,inline,1,5494,0.894,inline
LLVM,72.85,77.99,inline,0,5761,0.885,inline
LLVM,72.85,77.99,inline,1,5932,0.891,inline
LLVM,75.42,80.56,inline,0,5925,0.883,inline
LLVM,75.42,80.56,inline,1,5961,0.892,inline
LLVM,77.99,83.13,inline,0,6170,0.876,inline
LLVM,77.99,83.13,inline,1,5843,0.879,inline
LLVM,80.56,85.70,inline,0,6008,0.878,inline
LLVM,80.56,85.70,inline,1,5917,0.878,inline
LLVM,83.13,88.27,inline,0,4955,0.868,inline
LLVM,83.13,88.27,inline,1,6040,0.868,inline
LLVM,85.70,90.84,inline,0,3586,0.860,inline
LLVM,85.70,90.84,inline,1,5806,0.855,inline
LLVM,88.27,93.41,inline,0,2145,0.852,inline
LLVM,88.27,93.41,inline,1,4987,0.858,inline
LLVM,90.84,95.98,inline,0,867,0.790,inline
LLVM,90.84,95.98,inline,1,3775,0.853,inline
LLVM,93.41,98.55,inline,0,184,0.685,inline
LLVM,93.41,98.55,inline,1,2507,0.850,inline
LLVM,95.98,101.12,inline,0,12,-0.184,inline
LLVM,95.98,101.12,inline,1,1312,0.825,inline
LLVM,98.55,103.69,inline,1,453,0.754,inline
LLVM,-,-,mergereturn,0,32768,0.996,mergereturn
LLVM,-,-,mergereturn,1,32768,0.996,mergereturn
LLVM,52.29,57.43,mergereturn,0,158,0.840,mergereturn
LLVM,52.29,57.43,mergereturn,1,81,0.837,mergereturn
LLVM,54.86,60.00,mergereturn,0,640,0.877,mergereturn
LLVM,54.86,60.00,mergereturn,1,382,0.864,mergereturn
LLVM,57.43,62.57,mergereturn,0,1481,0.903,mergereturn
LLVM,57.43,62.57,mergereturn,1,1118,0.883,mergereturn
LLVM,60.00,65.14,mergereturn,0,2545,0.903,mergereturn
LLVM,60.00,65.14,mergereturn,1,2203,0.891,mergereturn
LLVM,62.57,67.71,mergereturn,0,3806,0.904,mergereturn
LLVM,62.57,67.71,mergereturn,1,3424,0.901,mergereturn
LLVM,65.14,70.28,mergereturn,0,4778,0.899,mergereturn
LLVM,65.14,70.28,mergereturn,1,4595,0.892,mergereturn
LLVM,67.71,72.85,mergereturn,0,5205,0.893,mergereturn
LLVM,67.71,72.85,mergereturn,1,5286,0.896,mergereturn
LLVM,70.28,75.42,mergereturn,0,5576,0.889,mergereturn
LLVM,70.28,75.42,mergereturn,1,5564,0.893,mergereturn
LLVM,72.85,77.99,mergereturn,0,5880,0.888,mergereturn
LLVM,72.85,77.99,mergereturn,1,5813,0.888,mergereturn
LLVM,75.42,80.56,mergereturn,0,5968,0.889,mergereturn
LLVM,75.42,80.56,mergereturn,1,5918,0.886,mergereturn
LLVM,77.99,83.13,mergereturn,0,6038,0.881,mergereturn
LLVM,77.99,83.13,mergereturn,1,5975,0.874,mergereturn
LLVM,80.56,85.70,mergereturn,0,5888,0.877,mergereturn
LLVM,80.56,85.70,mergereturn,1,6037,0.879,mergereturn
LLVM,83.13,88.27,mergereturn,0,5319,0.864,mergereturn
LLVM,83.13,88.27,mergereturn,1,5676,0.871,mergereturn
LLVM,85.70,90.84,mergereturn,0,4508,0.855,mergereturn
LLVM,85.70,90.84,mergereturn,1,4884,0.859,mergereturn
LLVM,88.27,93.41,mergereturn,0,3375,0.854,mergereturn
LLVM,88.27,93.41,mergereturn,1,3757,0.859,mergereturn
LLVM,90.84,95.98,mergereturn,0,2174,0.842,mergereturn
LLVM,90.84,95.98,mergereturn,1,2468,0.851,mergereturn
LLVM,93.41,98.55,mergereturn,0,1277,0.848,mergereturn
LLVM,93.41,98.55,mergereturn,1,1414,0.850,mergereturn
LLVM,95.98,101.12,mergereturn,0,649,0.832,mergereturn
LLVM,95.98,101.12,mergereturn,1,675,0.816,mergereturn
LLVM,98.55,103.69,mergereturn,0,229,0.758,mergereturn
LLVM,98.55,103.69,mergereturn,1,224,0.752,mergereturn
LLVM,-,-,jump_threading,0,32768,0.996,jump_threading
LLVM,-,-,jump_threading,1,32768,0.996,jump_threading
LLVM,52.29,57.43,jump_threading,0,193,0.828,jump_threading
LLVM,52.29,57.43,jump_threading,1,46,0.812,jump_threading
LLVM,54.86,60.00,jump_threading,0,711,0.869,jump_threading
LLVM,54.86,60.00,jump_threading,1,311,0.878,jump_threading
LLVM,57.43,62.57,jump_threading,0,1573,0.897,jump_threading
LLVM,57.43,62.57,jump_threading,1,1026,0.886,jump_threading
LLVM,60.00,65.14,jump_threading,0,2811,0.901,jump_threading
LLVM,60.00,65.14,jump_threading,1,1937,0.893,jump_threading
LLVM,62.57,67.71,jump_threading,0,4157,0.904,jump_threading
LLVM,62.57,67.71,jump_threading,1,3073,0.901,jump_threading
LLVM,65.14,70.28,jump_threading,0,4970,0.894,jump_threading
LLVM,65.14,70.28,jump_threading,1,4403,0.896,jump_threading
LLVM,67.71,72.85,jump_threading,0,5374,0.892,jump_threading
LLVM,67.71,72.85,jump_threading,1,5117,0.897,jump_threading
LLVM,70.28,75.42,jump_threading,0,5793,0.891,jump_threading
LLVM,70.28,75.42,jump_threading,1,5347,0.890,jump_threading
LLVM,72.85,77.99,jump_threading,0,5971,0.888,jump_threading
LLVM,72.85,77.99,jump_threading,1,5722,0.888,jump_threading
LLVM,75.42,80.56,jump_threading,0,5914,0.887,jump_threading
LLVM,75.42,80.56,jump_threading,1,5972,0.888,jump_threading
LLVM,77.99,83.13,jump_threading,0,5957,0.876,jump_threading
LLVM,77.99,83.13,jump_threading,1,6056,0.878,jump_threading
LLVM,80.56,85.70,jump_threading,0,5901,0.878,jump_threading
LLVM,80.56,85.70,jump_threading,1,6024,0.879,jump_threading
LLVM,83.13,88.27,jump_threading,0,5308,0.870,jump_threading
LLVM,83.13,88.27,jump_threading,1,5687,0.866,jump_threading
LLVM,85.70,90.84,jump_threading,0,4303,0.855,jump_threading
LLVM,85.70,90.84,jump_threading,1,5089,0.859,jump_threading
LLVM,88.27,93.41,jump_threading,0,3084,0.851,jump_threading
LLVM,88.27,93.41,jump_threading,1,4048,0.860,jump_threading
LLVM,90.84,95.98,jump_threading,0,1912,0.847,jump_threading
LLVM,90.84,95.98,jump_threading,1,2730,0.846,jump_threading
LLVM,93.41,98.55,jump_threading,0,1043,0.842,jump_threading
LLVM,93.41,98.55,jump_threading,1,1648,0.853,jump_threading
LLVM,95.98,101.12,jump_threading,0,431,0.791,jump_threading
LLVM,95.98,101.12,jump_threading,1,893,0.835,jump_threading
LLVM,98.55,103.69,jump_threading,0,108,0.640,jump_threading
LLVM,98.55,103.69,jump_threading,1,345,0.761,jump_threading
LLVM,-,-,pgo_memop_opt,0,32768,0.996,pgo_memop_opt
LLVM,-,-,pgo_memop_opt,1,32768,0.996,pgo_memop_opt
LLVM,52.29,57.43,pgo_memop_opt,0,239,0.829,pgo_memop_opt
LLVM,54.86,60.00,pgo_memop_opt,0,1000,0.873,pgo_memop_opt
LLVM,54.86,60.00,pgo_memop_opt,1,22,0.281,pgo_memop_opt
LLVM,57.43,62.57,pgo_memop_opt,0,2467,0.895,pgo_memop_opt
LLVM,57.43,62.57,pgo_memop_opt,1,132,0.878,pgo_memop_opt
LLVM,60.00,65.14,pgo_memop_opt,0,4056,0.902,pgo_memop_opt
LLVM,60.00,65.14,pgo_memop_opt,1,692,0.833,pgo_memop_opt
LLVM,62.57,67.71,pgo_memop_opt,0,5238,0.907,pgo_memop_opt
LLVM,62.57,67.71,pgo_memop_opt,1,1992,0.888,pgo_memop_opt
LLVM,65.14,70.28,pgo_memop_opt,0,5910,0.895,pgo_memop_opt
LLVM,65.14,70.28,pgo_memop_opt,1,3463,0.900,pgo_memop_opt
LLVM,67.71,72.85,pgo_memop_opt,0,5888,0.893,pgo_memop_opt
LLVM,67.71,72.85,pgo_memop_opt,1,4603,0.898,pgo_memop_opt
LLVM,70.28,75.42,pgo_memop_opt,0,5668,0.891,pgo_memop_opt
LLVM,70.28,75.42,pgo_memop_opt,1,5472,0.892,pgo_memop_opt
LLVM,72.85,77.99,pgo_memop_opt,0,5811,0.889,pgo_memop_opt
LLVM,72.85,77.99,pgo_memop_opt,1,5882,0.887,pgo_memop_opt
LLVM,75.42,80.56,pgo_memop_opt,0,6081,0.888,pgo_memop_opt
LLVM,75.42,80.56,pgo_memop_opt,1,5805,0.887,pgo_memop_opt
LLVM,77.99,83.13,pgo_memop_opt,0,6236,0.876,pgo_memop_opt
LLVM,77.99,83.13,pgo_memop_opt,1,5777,0.880,pgo_memop_opt
LLVM,80.56,85.70,pgo_memop_opt,0,5969,0.874,pgo_memop_opt
LLVM,80.56,85.70,pgo_memop_opt,1,5956,0.882,pgo_memop_opt
LLVM,83.13,88.27,pgo_memop_opt,0,4838,0.864,pgo_memop_opt
LLVM,83.13,88.27,pgo_memop_opt,1,6157,0.871,pgo_memop_opt
LLVM,85.70,90.84,pgo_memop_opt,0,3292,0.848,pgo_memop_opt
LLVM,85.70,90.84,pgo_memop_opt,1,6100,0.862,pgo_memop_opt
LLVM,88.27,93.41,pgo_memop_opt,0,1868,0.841,pgo_memop_opt
LLVM,88.27,93.41,pgo_memop_opt,1,5264,0.861,pgo_memop_opt
LLVM,90.84,95.98,pgo_memop_opt,0,766,0.807,pgo_memop_opt
LLVM,90.84,95.98,pgo_memop_opt,1,3876,0.851,pgo_memop_opt
LLVM,93.41,98.55,pgo_memop_opt,0,184,0.700,pgo_memop_opt
LLVM,93.41,98.55,pgo_memop_opt,1,2507,0.851,pgo_memop_opt
LLVM,95.98,101.12,pgo_memop_opt,0,9,0.300,pgo_memop_opt
LLVM,95.98,101.12,pgo_memop_opt,1,1315,0.825,pgo_memop_opt
LLVM,98.55,103.69,pgo_memop_opt,1,453,0.754,pgo_memop_opt
LLVM,-,-,tailcallelim,0,32768,0.996,tailcallelim
LLVM,-,-,tailcallelim,1,32768,0.996,tailcallelim
LLVM,52.29,57.43,tailcallelim,0,199,0.848,tailcallelim
LLVM,52.29,57.43,tailcallelim,1,40,0.243,tailcallelim
LLVM,54.86,60.00,tailcallelim,0,832,0.877,tailcallelim
LLVM,54.86,60.00,tailcallelim,1,190,0.846,tailcallelim
LLVM,57.43,62.57,tailcallelim,0,1786,0.903,tailcallelim
LLVM,57.43,62.57,tailcallelim,1,813,0.857,tailcallelim
LLVM,60.00,65.14,tailcallelim,0,2964,0.900,tailcallelim
LLVM,60.00,65.14,tailcallelim,1,1784,0.893,tailcallelim
LLVM,62.57,67.71,tailcallelim,0,4364,0.901,tailcallelim
LLVM,62.57,67.71,tailcallelim,1,2866,0.905,tailcallelim
LLVM,65.14,70.28,tailcallelim,0,5127,0.902,tailcallelim
LLVM,65.14,70.28,tailcallelim,1,4246,0.887,tailcallelim
LLVM,67.71,72.85,tailcallelim,0,5456,0.892,tailcallelim
LLVM,67.71,72.85,tailcallelim,1,5035,0.898,tailcallelim
LLVM,70.28,75.42,tailcallelim,0,5787,0.888,tailcallelim
LLVM,70.28,75.42,tailcallelim,1,5353,0.893,tailcallelim
LLVM,72.85,77.99,tailcallelim,0,5876,0.890,tailcallelim
LLVM,72.85,77.99,tailcallelim,1,5817,0.886,tailcallelim
LLVM,75.42,80.56,tailcallelim,0,6016,0.887,tailcallelim
LLVM,75.42,80.56,tailcallelim,1,5870,0.888,tailcallelim
LLVM,77.99,83.13,tailcallelim,0,6057,0.874,tailcallelim
LLVM,77.99,83.13,tailcallelim,1,5956,0.880,tailcallelim
LLVM,80.56,85.70,tailcallelim,0,5823,0.877,tailcallelim
LLVM,80.56,85.70,tailcallelim,1,6102,0.879,tailcallelim
LLVM,83.13,88.27,tailcallelim,0,5209,0.864,tailcallelim
LLVM,83.13,88.27,tailcallelim,1,5786,0.871,tailcallelim
LLVM,85.70,90.84,tailcallelim,0,4151,0.857,tailcallelim
LLVM,85.70,90.84,tailcallelim,1,5241,0.857,tailcallelim
LLVM,88.27,93.41,tailcallelim,0,2875,0.851,tailcallelim
LLVM,88.27,93.41,tailcallelim,1,4257,0.860,tailcallelim
LLVM,90.84,95.98,tailcallelim,0,1702,0.847,tailcallelim
LLVM,90.84,95.98,tailcallelim,1,2940,0.846,tailcallelim
LLVM,93.41,98.55,tailcallelim,0,898,0.839,tailcallelim
LLVM,93.41,98.55,tailcallelim,1,1793,0.854,tailcallelim
LLVM,95.98,101.12,tailcallelim,0,349,0.738,tailcallelim
LLVM,95.98,101.12,tailcallelim,1,975,0.842,tailcallelim
LLVM,98.55,103.69,tailcallelim,0,49,0.573,tailcallelim
LLVM,98.55,103.69,tailcallelim,1,404,0.762,tailcallelim
LLVM,-,-,licm,0,32768,0.996,licm
LLVM,-,-,licm,1,32768,0.996,licm
LLVM,52.29,57.43,licm,0,220,0.830,licm
LLVM,52.29,57.43,licm,1,19,0.667,licm
LLVM,54.86,60.00,licm,0,736,0.881,licm
LLVM,54.86,60.00,licm,1,286,0.809,licm
LLVM,57.43,62.57,licm,0,1600,0.897,licm
LLVM,57.43,62.57,licm,1,999,0.891,licm
LLVM,60.00,65.14,licm,0,2784,0.897,licm
LLVM,60.00,65.14,licm,1,1964,0.899,licm
LLVM,62.57,67.71,licm,0,4061,0.902,licm
LLVM,62.57,67.71,licm,1,3169,0.904,licm
LLVM,65.14,70.28,licm,0,5011,0.897,licm
LLVM,65.14,70.28,licm,1,4362,0.894,licm
LLVM,67.71,72.85,licm,0,5416,0.895,licm
LLVM,67.71,72.85,licm,1,5075,0.894,licm
LLVM,70.28,75.42,licm,0,5659,0.890,licm
LLVM,70.28,75.42,licm,1,5481,0.892,licm
LLVM,72.85,77.99,licm,0,5932,0.886,licm
LLVM,72.85,77.99,licm,1,5761,0.890,licm
LLVM,75.42,80.56,licm,0,5998,0.886,licm
LLVM,75.42,80.56,licm,1,5888,0.889,licm
LLVM,77.99,83.13,licm,0,5993,0.877,licm
LLVM,77.99,83.13,licm,1,6020,0.878,licm
LLVM,80.56,85.70,licm,0,5844,0.876,licm
LLVM,80.56,85.70,licm,1,6081,0.880,licm
LLVM,83.13,88.27,licm,0,5268,0.867,licm
LLVM,83.13,88.27,licm,1,5727,0.869,licm
LLVM,85.70,90.84,licm,0,4346,0.859,licm
LLVM,85.70,90.84,licm,1,5046,0.856,licm
LLVM,88.27,93.41,licm,0,3105,0.851,licm
LLVM,88.27,93.41,licm,1,4027,0.861,licm
LLVM,90.84,95.98,licm,0,1895,0.845,licm
LLVM,90.84,95.98,licm,1,2747,0.848,licm
LLVM,93.41,98.55,licm,0,1049,0.844,licm
LLVM,93.41,98.55,licm,1,1642,0.852,licm
LLVM,95.98,101.12,licm,0,471,0.828,licm
LLVM,95.98,101.12,licm,1,853,0.821,licm
