root;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;mpm;event;worker;processCount;compressionLevel;threadCount;performance;energy
1;0;0;1;1;0;1;0;0;0;0;1;1;0;8;1;256;8.786600;420.200000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;16;1;256;8.673000;421.800000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;32;1;256;8.535400;391.400000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;64;1;256;8.644600;391.400000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;64;1;16;7.725800;207.000000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;32;1;32;4.359400;158.200000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;64;1;32;5.713000;174.000000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;16;1;64;7.808600;220.800000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;32;1;64;5.535600;180.800000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;64;1;64;4.863800;151.000000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;8;1;128;4.392200;169.600000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;16;1;128;4.894400;159.000000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;32;1;128;5.135000;154.200000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;64;1;128;4.500200;140.600000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;8;1;256;4.858600;143.400000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;16;1;256;4.790600;145.800000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;32;1;256;5.762600;175.800000
1;0;0;1;1;1;0;0;0;0;0;1;0;1;64;1;256;3.156800;89.600000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;64;1;16;15.422200;555.200000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;32;1;32;15.070800;504.600000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;64;1;32;14.290800;488.800000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;16;1;64;6.685200;311.400000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;32;1;64;6.366000;306.400000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;64;1;64;6.285000;309.400000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;8;1;128;11.787800;481.200000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;16;1;128;15.909200;570.600000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;32;1;128;15.588800;522.000000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;64;1;128;14.971000;537.600000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;8;1;256;15.712800;542.600000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;16;1;256;15.717400;538.000000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;32;1;256;15.999200;534.600000
1;0;0;1;1;1;1;0;0;0;0;1;0;1;64;1;256;16.072000;539.400000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;64;1;16;4.284800;175.800000
